,name,firstName,lastName,party,role,ccid,district,chamber,state
0,Doug Broxson,Doug,Broxson,R,Senator,12001U,1,Senate,Florida
1,Jay Trumbull,Jay,Trumbull,R,Senator,12002U,2,Senate,Florida
2,Corey Simon,Corey,Simon,R,Senator,12003U,3,Senate,Florida
3,Clay Yarborough,Clay,Yarborough,R,Senator,12004U,4,Senate,Florida
4,Tracie Davis,Tracie,Davis,R,Senator,12005U,5,Senate,Florida
5,Jennifer Bradley,Jennifer,Bradley,R,Senator,12006U,6,Senate,Florida
6,Travis Hutson,Travis,Hutson,R,Senator,12007U,7,Senate,Florida
7,Tommy Wright,Tommy,Wright,R,Senator,12008U,8,Senate,Florida
8,Keith Perry,Keith,Perry,R,Senator,12009U,9,Senate,Florida
9,Jason Brodeur,Jason,Brodeur,R,Senator,12010U,10,Senate,Florida
10,Blaise Ingoglia,Blaise,Ingoglia,R,Senator,12011U,11,Senate,Florida
11,Colleen Burton,Colleen,Burton,R,Senator,12012U,12,Senate,Florida
12,Dennis Baxley,Dennis,Baxley,R,Senator,12013U,13,Senate,Florida
13,Jay Collins,Jay,Collins,R,Senator,12014U,14,Senate,Florida
14,Geraldine Thompson,Geraldine,Thompson,R,Senator,12015U,15,Senate,Florida
15,Darryl Rouson,Darryl,Rouson,R,Senator,12016U,16,Senate,Florida
16,Linda Stewart,Linda,Stewart,R,Senator,12017U,17,Senate,Florida
17,Nick DiCeglie,Nick,DiCeglie,R,Senator,12018U,18,Senate,Florida
18,Debbie Mayfield,Debbie,Mayfield,R,Senator,12019U,19,Senate,Florida
19,Jim Boyd,Jim,Boyd,R,Senator,12020U,20,Senate,Florida
20,Ed Hooper,Ed,Hooper,R,Senator,12021U,21,Senate,Florida
21,Joe Gruters,Joe,Gruters,R,Senator,12022U,22,Senate,Florida
22,Danny Burgess,Danny,Burgess,R,Senator,12023U,23,Senate,Florida
23,Bobby Powell,Bobby,Powell,R,Senator,12024U,24,Senate,Florida
24,Victor Torres,Victor,Torres,R,Senator,12025U,25,Senate,Florida
25,Lori Berman,Lori,Berman,R,Senator,12026U,26,Senate,Florida
26,Ben Albritton,Ben,Albritton,R,Senator,12027U,27,Senate,Florida
27,Kathleen Passidomo,Kathleen,Passidomo,R,Senator,12028U,28,Senate,Florida
28,Erin Grall,Erin,Grall,R,Senator,12029U,29,Senate,Florida
29,Tina Polsky,Tina,Polsky,R,Senator,12030U,30,Senate,Florida
30,Gayle Harrell,Gayle,Harrell,R,Senator,12031U,31,Senate,Florida
31,Rosalind Osgood,Rosalind,Osgood,R,Senator,12032U,32,Senate,Florida
32,Jonathan Martin,Jonathan,Martin,R,Senator,12033U,33,Senate,Florida
33,Shevrin Jones,Shevrin,Jones,R,Senator,12034U,34,Senate,Florida
34,Lauren Book,Lauren,Book,R,Senator,12035U,35,Senate,Florida
35,Ileana Garcia,Ileana,Garcia,R,Senator,12036U,36,Senate,Florida
36,Jason Pizzo,Jason,Pizzo,R,Senator,12037U,37,Senate,Florida
37,Alexis Calatayud,Alexis,Calatayud,R,Senator,12038U,38,Senate,Florida
38,Bryan Avila,Bryan,Avila,R,Senator,12039U,39,Senate,Florida
39,Ana Marie Rodriguez,Ana Marie,Rodriguez,R,Senator,12040U,40,Senate,Florida
